molecule_chembl_id,canonical_smiles,median_pIC50,mean_pIC50,min_pIC50,max_pIC50,number_of_measurements,pIC50_std,pIC50_range,variability,unique_assays,unique_documents,min_IC50_nM,max_IC50_nM,MolWt,LogP,HBD,HBA,TPSA,RotatableBonds,RingCount,AromaticRings,FractionCSP3,HeavyAtomCount,FormalCharge,NumAtoms
CHEMBL1000,O=C(O)COCCN1CCN(C(c2ccccc2)c2ccc(Cl)cc2)CC1,4.519999959791458,4.405315215443264,3.9665762445130506,4.519999959791458,5,0.2454153906950447,0.5534237152784076,Moderate,5,5,30199.52,108000.0,388.8950000000002,3.148200000000002,1.0,4.0,53.010000000000005,8.0,3.0,2.0,0.38095238095238093,27.0,0.0,27.0
CHEMBL100415,CCCCN(Cc1cncn1Cc1ccc(C#N)cc1)[C@H]1CCN(Cc2ccccc2)C1=O,6.721246399047171,6.721246399047171,6.721246399047171,6.721246399047171,1,0.0,0.0,Low,1,1,190.0,190.0,441.57900000000024,4.206280000000004,0.0,4.0,65.16,10.0,4.0,3.0,0.37037037037037035,33.0,0.0,33.0
CHEMBL100454,CN1CCN(C2=Nc3ccccc3Nc3sc(CO)cc32)CC1,4.939999856829448,4.939999856829448,4.939999856829448,4.939999856829448,1,0.0,0.0,Low,1,1,11481.54,11481.54,328.44100000000014,2.623100000000001,2.0,6.0,51.099999999999994,1.0,4.0,2.0,0.35294117647058826,23.0,0.0,23.0
CHEMBL100566,N#Cc1ccc(Cn2cncc2CN[C@H]2CCN(c3cccc4ncccc34)C2=O)cc1,5.086186147616283,5.086186147616283,5.086186147616283,5.086186147616283,1,0.0,0.0,Low,1,1,8200.0,8200.0,422.4920000000001,3.246380000000002,1.0,5.0,86.84,6.0,5.0,4.0,0.2,32.0,0.0,32.0
CHEMBL1008,CC(C)COCC(CN(Cc1ccccc1)c1ccccc1)N1CCCC1,6.260000690598032,6.49015052431708,5.853871964321762,7.639974910810602,10,0.5814689629599628,1.7861029464888398,High,10,10,22.91,1400.0,366.5490000000002,4.830200000000005,0.0,3.0,15.71,10.0,3.0,2.0,0.5,27.0,0.0,27.0
CHEMBL101740,CN(C)CC/C=C1/c2ccccc2COc2ccccc21,5.190000154058473,5.190000154058473,5.190000154058473,5.190000154058473,1,0.0,0.0,Low,1,1,6456.54,6456.54,279.383,3.9624000000000033,0.0,2.0,12.47,3.0,3.0,2.0,0.2631578947368421,21.0,0.0,21.0
CHEMBL104,Clc1ccccc1C(c1ccccc1)(c1ccccc1)n1ccnc1,5.520000247408364,5.520000247408364,5.520000247408364,5.520000247408364,1,0.0,0.0,Low,1,1,3019.95,3019.95,344.845,5.376700000000004,0.0,1.0,17.82,4.0,4.0,4.0,0.045454545454545456,25.0,0.0,25.0
CHEMBL1077638,CC(C)CN(C(=O)c1cccc(C(F)(F)F)c1Cl)[C@H]1CCNC1,5.3851027839668655,5.3851027839668655,5.3851027839668655,5.3851027839668655,1,0.0,0.0,Low,1,1,4120.0,4120.0,348.79600000000005,3.818900000000003,1.0,2.0,32.34,4.0,2.0,1.0,0.5625,23.0,0.0,23.0
CHEMBL1077647,CC(C)CN(C(=O)c1cc(Cl)ccc1Cl)[C@H]1CCNC1,4.703334809738469,4.703334809738469,4.703334809738469,4.703334809738469,1,0.0,0.0,Low,1,1,19800.0,19800.0,315.2440000000001,3.4535000000000027,1.0,2.0,32.34,4.0,2.0,1.0,0.5333333333333333,20.0,0.0,20.0
CHEMBL1078162,Cc1c(Cl)cccc1C(=O)N(CC(C)C)[C@H]1CCNC1,4.280668713016273,4.280668713016273,4.280668713016273,4.280668713016273,1,0.0,0.0,Low,1,1,52400.0,52400.0,294.826,3.1085200000000013,1.0,2.0,32.34,4.0,2.0,1.0,0.5625,20.0,0.0,20.0
CHEMBL1078169,CC(C)CN(C(=O)c1ccccc1C(C)C)[C@H]1CCNC1,4.889410289700751,4.889410289700751,4.889410289700751,4.889410289700751,1,0.0,0.0,Low,1,1,12900.0,12900.0,288.43500000000006,3.270100000000001,1.0,2.0,32.34,5.0,2.0,1.0,0.6111111111111112,21.0,0.0,21.0
CHEMBL1078231,CCCC[C@H]1CN(CC2CCOCC2)C(=O)OC12CCN(C1(C)CCN(C(=O)c3c(C)ncnc3C)CC1)CC2,4.924453038607469,4.924453038607469,4.924453038607469,4.924453038607469,1,0.0,0.0,Low,1,1,11900.0,11900.0,555.7640000000001,4.607940000000004,0.0,7.0,88.10000000000001,7.0,5.0,1.0,0.8064516129032258,40.0,0.0,40.0
CHEMBL1078742,CC(C)CN(C(=O)c1ccc(Cl)c(Cl)c1)[C@H]1CCNC1,4.764471553092451,4.764471553092451,4.764471553092451,4.764471553092451,1,0.0,0.0,Low,1,1,17200.0,17200.0,315.2440000000001,3.453500000000002,1.0,2.0,32.34,4.0,2.0,1.0,0.5333333333333333,20.0,0.0,20.0
CHEMBL1078983,COc1ccc(-c2ccc3c(N4CCOCC4)nc(N4C[C@@H](C)O[C@@H](C)C4)nc3n2)cc1CO,5.080921907623926,5.080921907623926,5.080921907623926,5.080921907623926,1,0.0,0.0,Low,1,1,8300.0,8300.0,465.5540000000002,2.6429000000000014,1.0,9.0,93.07000000000001,5.0,5.0,3.0,0.48,34.0,0.0,34.0
CHEMBL1079264,O=C(c1cccc(Cl)c1Cl)N(c1ccccc1)[C@H]1CCNC1,5.101274818410507,5.101274818410507,5.101274818410507,5.101274818410507,1,0.0,0.0,Low,1,1,7920.0,7920.0,335.23400000000015,4.002100000000004,1.0,2.0,32.34,3.0,3.0,2.0,0.23529411764705882,22.0,0.0,22.0
CHEMBL1079313,CCOc1cc(CN2CCC(Nc3nc4cc(S(=O)(=O)CC)ccc4o3)CC2)ccc1OC,6.7447274948966935,6.7447274948966935,6.7447274948966935,6.7447274948966935,1,0.0,0.0,Low,1,1,180.0,180.0,473.59500000000037,4.1052000000000035,1.0,8.0,93.9,9.0,4.0,3.0,0.4583333333333333,33.0,0.0,33.0
CHEMBL1079461,Cc1ncoc1-c1nnc(SCCCN2CC3CC3(c3cccc(Cl)c3)C2)n1C,5.899998417198648,6.066665407983386,5.800000874803203,6.499996931948306,3,0.3785921742027988,0.6999960571451034,Moderate,1,1,316.23,1584.89,429.9770000000002,4.1876200000000035,0.0,6.0,59.980000000000004,7.0,5.0,3.0,0.47619047619047616,29.0,0.0,29.0
CHEMBL1079462,Cc1ncoc1-c1nnc(SCCCN2CC3CC3(c3ccc(F)cc3)C2)n1C,6.099998717915661,6.099998717915661,5.700000503883016,6.499996931948306,2,0.5656828992099826,0.79999642806529,Moderate,1,1,316.23,1995.26,413.52200000000016,3.673320000000002,0.0,6.0,59.980000000000004,7.0,5.0,3.0,0.47619047619047616,29.0,0.0,29.0
CHEMBL1079475,Cn1c(SCCCN2C[C@@H]3C[C@]3(c3ccc(C(F)(F)F)cc3)C2)nnc1-c1cncnc1,5.499999678657065,5.499999678657065,5.499999678657065,5.499999678657065,1,0.0,0.0,Low,1,1,3162.28,3162.28,460.5290000000001,4.046600000000002,0.0,6.0,59.730000000000004,7.0,5.0,3.0,0.45454545454545453,32.0,0.0,32.0
CHEMBL1079480,Cc1cnc(-c2nnc(SCCCN3C[C@@H]4C[C@]4(c4ccc(C(F)(F)F)cc4)C3)n2C)cn1,6.0999990348465305,6.0999990348465305,6.0999990348465305,6.0999990348465305,1,0.0,0.0,Low,1,1,794.33,794.33,474.5560000000001,4.355020000000003,0.0,6.0,59.730000000000004,7.0,5.0,3.0,0.4782608695652174,33.0,0.0,33.0
CHEMBL1079481,Cc1ncoc1-c1nnc(SCCCN2CC3CC3(c3ccc(C(F)(F)F)cc3)C2)n1C,6.0,6.0,6.0,6.0,4,0.0,0.0,Low,4,4,1000.0,1000.0,463.52900000000017,4.5530200000000045,0.0,6.0,59.980000000000004,7.0,5.0,3.0,0.5,32.0,0.0,32.0
CHEMBL1079494,COc1ccc(C23CC2CN(CCCSc2nnc(-c4ocnc4C)n2C)C3)cc1Cl,5.700000503883016,5.733333241595376,5.40000018605658,6.0999990348465305,3,0.3511878423712367,0.6999988487899502,Moderate,1,1,794.33,3981.07,460.00300000000016,4.196220000000004,0.0,7.0,69.21000000000001,8.0,5.0,3.0,0.5,31.0,0.0,31.0
CHEMBL1079497,Cc1ccc2c(-c3nnc(SCCCN4CC5CC5(c5ccc(Br)cc5)C4)n3C)cccc2n1,6.900008766455315,6.900008766455315,6.900008766455315,6.900008766455315,1,0.0,0.0,Low,1,1,125.89,125.89,534.5270000000002,5.856920000000006,0.0,5.0,46.84,7.0,6.0,4.0,0.37037037037037035,34.0,0.0,34.0
CHEMBL1079577,Cc1ccc2c(-c3nnc(SCCCN4CC5CC5(c5ccc(C#N)cc5)C4)n3C)cccc2n1,6.199998172182031,6.199998172182031,6.199998172182031,6.199998172182031,1,0.0,0.0,Low,1,1,630.96,630.96,480.64100000000025,4.966100000000004,0.0,6.0,70.63,7.0,6.0,4.0,0.35714285714285715,35.0,0.0,35.0
CHEMBL1079578,COc1ccc(C23CC2CN(CCCSc2nnc(-c4cccc5nc(C)ccc45)n2C)C3)cc1,5.899998777602826,5.899998777602826,5.59999938302362,6.199998172182031,2,0.4242632125176299,0.5999987891584109,Moderate,1,1,630.96,2511.89,485.6570000000002,5.103020000000004,0.0,6.0,56.07,8.0,6.0,4.0,0.39285714285714285,35.0,0.0,35.0
CHEMBL1079639,Cc1ccoc1-c1nnc(SCCCN2C[C@@H]3C[C@]3(c3ccc(C(F)(F)F)cc3)C2)n1C,6.699991797446187,6.699991797446187,6.699991797446187,6.699991797446187,1,0.0,0.0,Low,1,1,199.53,199.53,462.54100000000017,5.158020000000005,0.0,5.0,47.09,7.0,5.0,3.0,0.4782608695652174,32.0,0.0,32.0
