molecule_chembl_id,canonical_smiles,median_pIC50,mean_pIC50,min_pIC50,max_pIC50,number_of_measurements,pIC50_std,pIC50_range,variability,unique_assays,unique_documents,min_IC50_nM,max_IC50_nM
CHEMBL1000,O=C(O)COCCN1CCN(C(c2ccccc2)c2ccc(Cl)cc2)CC1,4.519999959791458,4.405315215443264,3.9665762445130506,4.519999959791458,5,0.24541539069504476,0.5534237152784076,Moderate,5,5,30199.52,108000.0
CHEMBL100415,CCCCN(Cc1cncn1Cc1ccc(C#N)cc1)[C@H]1CCN(Cc2ccccc2)C1=O,6.721246399047171,6.721246399047171,6.721246399047171,6.721246399047171,1,0.0,0.0,Low,1,1,190.0,190.0
CHEMBL100454,CN1CCN(C2=Nc3ccccc3Nc3sc(CO)cc32)CC1,4.939999856829448,4.939999856829448,4.939999856829448,4.939999856829448,1,0.0,0.0,Low,1,1,11481.54,11481.54
CHEMBL100566,N#Cc1ccc(Cn2cncc2CN[C@H]2CCN(c3cccc4ncccc34)C2=O)cc1,5.086186147616283,5.086186147616283,5.086186147616283,5.086186147616283,1,0.0,0.0,Low,1,1,8200.0,8200.0
CHEMBL1008,CC(C)COCC(CN(Cc1ccccc1)c1ccccc1)N1CCCC1,6.260000690598032,6.49015052431708,5.853871964321762,7.639974910810602,10,0.5814689629599628,1.7861029464888398,High,10,10,22.91,1400.0
CHEMBL101740,CN(C)CC/C=C1/c2ccccc2COc2ccccc21,5.190000154058473,5.190000154058473,5.190000154058473,5.190000154058473,1,0.0,0.0,Low,1,1,6456.54,6456.54
CHEMBL104,Clc1ccccc1C(c1ccccc1)(c1ccccc1)n1ccnc1,5.520000247408364,5.520000247408364,5.520000247408364,5.520000247408364,1,0.0,0.0,Low,1,1,3019.95,3019.95
CHEMBL1077638,CC(C)CN(C(=O)c1cccc(C(F)(F)F)c1Cl)[C@H]1CCNC1,5.3851027839668655,5.3851027839668655,5.3851027839668655,5.3851027839668655,1,0.0,0.0,Low,1,1,4120.0,4120.0
CHEMBL1077647,CC(C)CN(C(=O)c1cc(Cl)ccc1Cl)[C@H]1CCNC1,4.703334809738469,4.703334809738469,4.703334809738469,4.703334809738469,1,0.0,0.0,Low,1,1,19800.0,19800.0
CHEMBL1078162,Cc1c(Cl)cccc1C(=O)N(CC(C)C)[C@H]1CCNC1,4.280668713016273,4.280668713016273,4.280668713016273,4.280668713016273,1,0.0,0.0,Low,1,1,52400.0,52400.0
CHEMBL1078169,CC(C)CN(C(=O)c1ccccc1C(C)C)[C@H]1CCNC1,4.889410289700751,4.889410289700751,4.889410289700751,4.889410289700751,1,0.0,0.0,Low,1,1,12900.0,12900.0
CHEMBL1078231,CCCC[C@H]1CN(CC2CCOCC2)C(=O)OC12CCN(C1(C)CCN(C(=O)c3c(C)ncnc3C)CC1)CC2,4.924453038607469,4.924453038607469,4.924453038607469,4.924453038607469,1,0.0,0.0,Low,1,1,11900.0,11900.0
CHEMBL1078742,CC(C)CN(C(=O)c1ccc(Cl)c(Cl)c1)[C@H]1CCNC1,4.764471553092451,4.764471553092451,4.764471553092451,4.764471553092451,1,0.0,0.0,Low,1,1,17200.0,17200.0
CHEMBL1078983,COc1ccc(-c2ccc3c(N4CCOCC4)nc(N4C[C@@H](C)O[C@@H](C)C4)nc3n2)cc1CO,5.080921907623926,5.080921907623926,5.080921907623926,5.080921907623926,1,0.0,0.0,Low,1,1,8300.0,8300.0
CHEMBL1079264,O=C(c1cccc(Cl)c1Cl)N(c1ccccc1)[C@H]1CCNC1,5.101274818410507,5.101274818410507,5.101274818410507,5.101274818410507,1,0.0,0.0,Low,1,1,7920.0,7920.0
CHEMBL1079313,CCOc1cc(CN2CCC(Nc3nc4cc(S(=O)(=O)CC)ccc4o3)CC2)ccc1OC,6.7447274948966935,6.7447274948966935,6.7447274948966935,6.7447274948966935,1,0.0,0.0,Low,1,1,180.0,180.0
CHEMBL1079461,Cc1ncoc1-c1nnc(SCCCN2CC3CC3(c3cccc(Cl)c3)C2)n1C,5.899998417198648,6.066665407983386,5.800000874803203,6.499996931948306,3,0.37859217420279884,0.6999960571451034,Moderate,1,1,316.23,1584.89
CHEMBL1079462,Cc1ncoc1-c1nnc(SCCCN2CC3CC3(c3ccc(F)cc3)C2)n1C,6.099998717915661,6.099998717915661,5.700000503883016,6.499996931948306,2,0.5656828992099826,0.79999642806529,Moderate,1,1,316.23,1995.26
CHEMBL1079475,Cn1c(SCCCN2C[C@@H]3C[C@]3(c3ccc(C(F)(F)F)cc3)C2)nnc1-c1cncnc1,5.499999678657065,5.499999678657065,5.499999678657065,5.499999678657065,1,0.0,0.0,Low,1,1,3162.28,3162.28
CHEMBL1079480,Cc1cnc(-c2nnc(SCCCN3C[C@@H]4C[C@]4(c4ccc(C(F)(F)F)cc4)C3)n2C)cn1,6.0999990348465305,6.0999990348465305,6.0999990348465305,6.0999990348465305,1,0.0,0.0,Low,1,1,794.33,794.33
CHEMBL1079481,Cc1ncoc1-c1nnc(SCCCN2CC3CC3(c3ccc(C(F)(F)F)cc3)C2)n1C,6.0,6.0,6.0,6.0,4,0.0,0.0,Low,4,4,1000.0,1000.0
CHEMBL1079494,COc1ccc(C23CC2CN(CCCSc2nnc(-c4ocnc4C)n2C)C3)cc1Cl,5.700000503883016,5.733333241595376,5.40000018605658,6.0999990348465305,3,0.3511878423712367,0.6999988487899502,Moderate,1,1,794.33,3981.07
CHEMBL1079497,Cc1ccc2c(-c3nnc(SCCCN4CC5CC5(c5ccc(Br)cc5)C4)n3C)cccc2n1,6.900008766455315,6.900008766455315,6.900008766455315,6.900008766455315,1,0.0,0.0,Low,1,1,125.89,125.89
CHEMBL1079577,Cc1ccc2c(-c3nnc(SCCCN4CC5CC5(c5ccc(C#N)cc5)C4)n3C)cccc2n1,6.199998172182031,6.199998172182031,6.199998172182031,6.199998172182031,1,0.0,0.0,Low,1,1,630.96,630.96
CHEMBL1079578,COc1ccc(C23CC2CN(CCCSc2nnc(-c4cccc5nc(C)ccc45)n2C)C3)cc1,5.899998777602826,5.899998777602826,5.59999938302362,6.199998172182031,2,0.4242632125176299,0.5999987891584109,Moderate,1,1,630.96,2511.89
CHEMBL1079639,Cc1ccoc1-c1nnc(SCCCN2C[C@@H]3C[C@]3(c3ccc(C(F)(F)F)cc3)C2)n1C,6.699991797446187,6.699991797446187,6.699991797446187,6.699991797446187,1,0.0,0.0,Low,1,1,199.53,199.53
CHEMBL1079640,Cc1ccc(-c2nnc(SCCCN3C[C@@H]4C[C@]4(c4ccc(C(F)(F)F)cc4)C3)n2C)cn1,6.0999990348465305,6.0999990348465305,6.0999990348465305,6.0999990348465305,1,0.0,0.0,Low,1,1,794.33,794.33
CHEMBL1079667,Cc1ncoc1-c1nnc(SCCCN2CC3CC3(c3ccccc3)C2)n1C,5.800000874803203,5.800000874803203,5.800000874803203,5.800000874803203,1,0.0,0.0,Low,1,1,1584.89,1584.89
CHEMBL1079814,Cc1cc(C(F)(F)F)ccc1C12CC1CN(CCCSc1nnc(-c3ocnc3C)n1C)C2,6.399996913372259,6.399996913372259,6.399996913372259,6.399996913372259,1,0.0,0.0,Low,1,1,398.11,398.11
CHEMBL1079822,Cc1ncoc1-c1nnc(SCCCN2CC3CC3(c3ccc(C(C)(C)C)cc3)C2)n1C,6.199998172182031,6.199998172182031,6.199998172182031,6.199998172182031,1,0.0,0.0,Low,1,1,630.96,630.96
CHEMBL1079823,Cc1ncoc1-c1nnc(SCCCN2C[C@H]3C[C@@]3(c3ccc(C(C)(C)C)cc3)C2)n1C,6.399996913372259,6.399996913372259,6.399996913372259,6.399996913372259,1,0.0,0.0,Low,1,1,398.11,398.11
CHEMBL1079824,Cc1ncoc1-c1nnc(SCCCN2C[C@@H]3C[C@]3(c3ccc(C(C)(C)C)cc3)C2)n1C,6.0,6.0,6.0,6.0,1,0.0,0.0,Low,1,1,1000.0,1000.0
CHEMBL1079837,COc1ccc(C23CC2CN(CCCSc2nnc(-c4ocnc4C)n2C)C3)cc1,5.700000503883016,5.733332768035095,5.59999938302362,5.899998417198648,3,0.1527518739708791,0.2999990341750278,Low,1,1,1258.93,2511.89
CHEMBL1079938,Cc1ncoc1-c1nnc(SCCCN2CC3CC3(c3cccc(C(F)(F)F)c3F)C2)n1C,5.499999678657065,5.633333288237882,5.40000018605658,6.0,3,0.32145502448386415,0.5999998139434197,Moderate,1,1,1000.0,3981.07
CHEMBL1079980,Cc1ncoc1-c1nnc(SCCCN2CC3CC3(c3cccc(F)c3)C2)n1C,5.850000251941508,5.850000251941508,5.700000503883016,6.0,2,0.21213167805686645,0.2999994961169836,Low,1,1,1000.0,1995.26
CHEMBL108,NC(=O)N1c2ccccc2C=Cc2ccccc21,3.9800000199290153,3.9800000199290153,3.9800000199290153,3.9800000199290153,1,0.0,0.0,Low,1,1,104712.85,104712.85
CHEMBL1080046,CCCCc1ccc(S(=O)(=O)Nc2ccc3c(c2)CCN(Cc2cc[nH]n2)CC3)cc1,5.59999938302362,5.59999938302362,5.59999938302362,5.59999938302362,1,0.0,0.0,Low,1,1,2511.89,2511.89
CHEMBL1080117,Cc1ccc2c(-c3nnc(SCCCN4CC5CC5(c5ccc(Cl)cc5)C4)n3C)cccc2n1,5.800000874803203,6.066664392044135,5.700000503883016,6.699991797446187,3,0.5507519590260345,0.9999912935631707,Moderate,1,1,199.53,1995.26
CHEMBL1080126,Cc1ncoc1-c1nnc(SCCCN2CC3CC3(c3ccc(C(F)(F)F)c(F)c3)C2)n1C,6.299997542777145,6.299997542777145,6.199998172182031,6.399996913372259,2,0.14142046612438364,0.1999987411902282,Low,1,1,398.11,630.96
CHEMBL1080164,Cc1ccc2c(-c3nnc(SCCCN4C[C@H]5C[C@@]5(c5ccc(Br)cc5)C4)n3C)cccc2n1,6.299997602857746,6.299997602857746,6.299997602857746,6.299997602857746,1,0.0,0.0,Low,1,1,501.19,501.19
