molecule_chembl_id,number_of_measurements
CHEMBL1729,40
CHEMBL17157,29
CHEMBL296419,25
CHEMBL74656,23
CHEMBL473,23
CHEMBL6966,22
CHEMBL85,19
CHEMBL327980,18
CHEMBL45816,17
CHEMBL54,15
CHEMBL629,15
CHEMBL536480,13
CHEMBL1423,13
CHEMBL12713,13
CHEMBL42,12
CHEMBL850,12
CHEMBL1107,12
CHEMBL479,11
CHEMBL32,11
CHEMBL1008,10
CHEMBL192,10
CHEMBL175691,10
CHEMBL1108,9
CHEMBL6006710,9
CHEMBL376488,9
CHEMBL71,9
CHEMBL583,9
CHEMBL715,8
CHEMBL1294,8
CHEMBL72,8
CHEMBL85606,8
CHEMBL914,8
CHEMBL5315124,8
CHEMBL94454,8
CHEMBL31,8
CHEMBL11,8
CHEMBL3305167,7
CHEMBL41,7
CHEMBL998,7
CHEMBL123558,7
CHEMBL708,7
CHEMBL3,7
CHEMBL23,7
CHEMBL549,6
CHEMBL370805,6
CHEMBL723,6
CHEMBL657,6
CHEMBL193,6
CHEMBL219916,6
CHEMBL3400819,6
CHEMBL2368925,6
CHEMBL2204935,6
CHEMBL61301,6
CHEMBL75880,6
CHEMBL639,6
CHEMBL4650365,5
CHEMBL4443524,5
CHEMBL633,5
CHEMBL1200749,5
CHEMBL535,5
CHEMBL1200396,5
CHEMBL38827,5
CHEMBL505,5
CHEMBL5768419,5
CHEMBL4861332,5
CHEMBL2441437,5
CHEMBL517,5
CHEMBL1112,5
CHEMBL4518483,5
CHEMBL1000,5
CHEMBL3305005,5
CHEMBL46,5
CHEMBL533,5
CHEMBL1741,5
CHEMBL1088,5
CHEMBL779,5
CHEMBL2441417,5
CHEMBL1110,5
CHEMBL1621,5
CHEMBL356066,5
CHEMBL289469,5
CHEMBL8,5
CHEMBL4,5
CHEMBL157101,5
CHEMBL244946,5
CHEMBL475534,5
CHEMBL5883091,4
CHEMBL214021,4
CHEMBL3317856,4
CHEMBL17423,4
CHEMBL256907,4
CHEMBL1382,4
CHEMBL96153,4
CHEMBL845,4
CHEMBL1175,4
CHEMBL3775729,4
CHEMBL5916184,4
CHEMBL5416410,4
CHEMBL2022495,4
CHEMBL4461925,4
CHEMBL1081957,4
CHEMBL3703254,4
CHEMBL3952064,4
CHEMBL1081023,4
CHEMBL416956,4
CHEMBL2380459,4
CHEMBL55,4
CHEMBL741,4
CHEMBL3582317,4
CHEMBL5806532,4
CHEMBL4098260,4
CHEMBL2177736,4
CHEMBL1125,4
CHEMBL76,4
CHEMBL472,4
CHEMBL1079481,4
CHEMBL3608687,4
CHEMBL3608740,4
CHEMBL3608741,4
CHEMBL3895053,4
CHEMBL3908640,4
CHEMBL3912135,4
CHEMBL3964407,4
CHEMBL3965204,4
CHEMBL3979144,4
CHEMBL4751083,4
CHEMBL5394023,4
CHEMBL5398790,4
CHEMBL5399407,4
CHEMBL5400637,4
CHEMBL5407684,4
CHEMBL5413311,4
CHEMBL5421791,4
CHEMBL5423660,4
CHEMBL5424508,4
CHEMBL5424726,4
CHEMBL5424734,4
CHEMBL5427839,4
CHEMBL5432698,4
CHEMBL652,4
CHEMBL554,3
CHEMBL4751770,3
CHEMBL4753585,3
CHEMBL5942934,3
CHEMBL584,3
CHEMBL461101,3
CHEMBL4742862,3
CHEMBL255863,3
CHEMBL3425810,3
CHEMBL607,3
CHEMBL3775226,3
CHEMBL1081869,3
CHEMBL2403108,3
CHEMBL409224,3
CHEMBL1908360,3
CHEMBL305660,3
CHEMBL3353410,3
CHEMBL434394,3
CHEMBL4864639,3
CHEMBL4643920,3
CHEMBL308954,3
CHEMBL2,3
CHEMBL502,3
CHEMBL259243,3
CHEMBL6049947,3
CHEMBL3752154,3
CHEMBL709,3
CHEMBL1083426,3
CHEMBL254316,3
CHEMBL1520,3
CHEMBL1080117,3
CHEMBL4060355,3
CHEMBL5895249,3
CHEMBL2447962,3
CHEMBL5927239,3
CHEMBL1082111,3
CHEMBL3774769,3
CHEMBL1873475,3
CHEMBL429436,3
CHEMBL1080490,3
CHEMBL631,3
CHEMBL1422,3
CHEMBL1081203,3
CHEMBL1734,3
CHEMBL3422018,3
CHEMBL3416026,3
CHEMBL2158050,3
CHEMBL1079494,3
CHEMBL1081587,3
CHEMBL1079461,3
CHEMBL2017291,3
CHEMBL1080489,3
CHEMBL1079938,3
CHEMBL212689,3
CHEMBL6037809,3
CHEMBL4109904,3
CHEMBL5868410,3
CHEMBL4244784,3
CHEMBL24778,3
CHEMBL272022,3
CHEMBL4110570,3
CHEMBL1323,3
CHEMBL1081237,3
CHEMBL1081747,3
CHEMBL16,3
CHEMBL5826693,3
CHEMBL3612807,3
CHEMBL3954214,3
CHEMBL4075203,3
CHEMBL5945844,3
CHEMBL215661,3
CHEMBL246819,3
CHEMBL4105584,3
CHEMBL4076989,3
CHEMBL5918605,3
CHEMBL1210614,3
CHEMBL1079837,3
CHEMBL1082106,3
CHEMBL1210552,3
CHEMBL1952329,3
CHEMBL1084033,3
CHEMBL5866597,3
CHEMBL214335,3
CHEMBL1684585,3
CHEMBL2164389,3
CHEMBL5842189,3
CHEMBL3291398,3
CHEMBL1081966,3
CHEMBL3612926,3
CHEMBL271128,3
CHEMBL4580568,3
CHEMBL3612928,3
CHEMBL1083708,3
CHEMBL214585,3
CHEMBL1800137,3
CHEMBL1935601,3
CHEMBL3612924,3
CHEMBL410885,3
CHEMBL271801,3
CHEMBL5746422,3
CHEMBL2165062,3
CHEMBL2443262,3
CHEMBL1106,3
CHEMBL4075319,3
CHEMBL2159976,3
CHEMBL270971,3
CHEMBL3696475,3
CHEMBL4640857,3
CHEMBL3422012,3
CHEMBL4094163,3
CHEMBL40,3
CHEMBL3918431,3
CHEMBL1683074,3
CHEMBL1767164,3
CHEMBL2165063,3
CHEMBL22,3
CHEMBL272511,3
CHEMBL3400817,3
