molecule_chembl_id,number_of_measurements,mean_pIC50,median_pIC50,min_pIC50,max_pIC50,std_pIC50,mean_IC50_nM,min_IC50_nM,max_IC50_nM,unique_assays,unique_documents,unique_SMILES,pIC50_range,variability,multiple_assays,multiple_documents,multiple_SMILES
CHEMBL1729,40,7.3108825276682055,7.398973915543969,4.589391457431632,8.18996921359416,0.7376704135647342,803.183625,6.457,25740.0,40,37,1,3.6005777561625285,High,True,True,False
CHEMBL17157,29,6.91791869042146,6.890016705180107,4.251811972993799,8.050609993355087,0.716642957068455,2114.7217241379312,8.9,56000.0,29,25,1,3.7987980203612874,High,True,True,False
CHEMBL296419,25,7.934158205250781,8.096910013008056,5.568636235841012,9.045757490560677,1.035038004620284,254.5992,0.9,2700.0,24,24,1,3.4771212547196644,High,True,True,False
CHEMBL74656,23,7.23492308130293,7.494850021680094,4.6020599913279625,8.698970004336019,0.9232269189423271,1561.2647826086954,2.0,25000.0,23,23,1,4.096910013008056,High,True,True,False
CHEMBL473,23,7.458340875716686,7.853871964321762,4.356547323513812,8.387216143280265,0.938505369406957,2032.7578260869566,4.1,44000.0,23,21,1,4.030668819766452,High,True,True,False
CHEMBL6966,22,6.602752539662399,6.6338031200885155,5.508638306165727,8.0,0.46404829543153986,422.9040909090909,10.0,3100.0,22,22,1,2.491361693834273,High,True,True,False
CHEMBL85,19,6.45946018398983,6.777283528852417,5.377775612133956,6.83000246293343,0.4663540614441548,663.4836842105263,147.91,4190.1,19,19,1,1.452226850799474,High,True,True,False
CHEMBL327980,18,7.914225514730059,7.699513552156626,7.154901959985743,10.537602002101044,0.7619449483594728,22.12061111111111,0.029,70.0,18,18,1,3.3827000421153013,High,True,True,False
CHEMBL45816,17,5.8616734732958715,5.853871964321762,5.481486060122112,6.236572006437063,0.14923045800917503,1454.3058823529411,580.0,3300.0,17,17,1,0.7550859463149511,Moderate,True,True,False
CHEMBL54,15,7.186864049035747,7.51999305704285,5.853871964321762,8.0,0.711063303640815,279.1853333333333,10.0,1400.0,15,15,1,2.146128035678238,High,True,True,False
CHEMBL629,15,5.196533879608203,5.0,4.754748974705894,5.742321425130816,0.2950876082970124,7688.626666666666,1810.0,17589.4,15,15,1,0.9875724504249224,Moderate,True,True,False
CHEMBL536480,13,7.012668880239782,7.050609993355087,5.168770306132936,8.0,0.9463775821267694,868.0715384615385,10.0,6780.0,13,10,1,2.831229693867064,High,True,True,False
CHEMBL1423,13,7.471181563253072,7.698970004336019,5.769551078621726,8.51999305704285,0.6186205135273685,159.48692307692306,3.02,1700.0,13,13,1,2.750441978421124,High,True,True,False
CHEMBL12713,13,8.04141844514806,7.853871964321762,7.830031826003108,8.568636235841012,0.2906716376349736,10.649999999999999,2.7,14.79,13,13,1,0.7386044098379045,Moderate,True,True,False
CHEMBL42,12,6.0622431971066035,6.338545775671872,4.975883927173229,6.719991046891813,0.6203109080865605,2227.4825,190.55,10571.0,12,12,1,1.744107119718584,High,True,True,False
CHEMBL850,12,4.522914298560285,4.579999998661813,3.894149325614857,4.7447274948966935,0.2512478726583713,36377.89916666666,18000.0,127600.0,12,8,1,0.8505781692818366,Moderate,True,True,False
