,count,mean,std,min,25%,50%,75%,max
median_pIC50,9802.0,5.402371751027189,0.9388301602960463,0.0200000000006532,4.809668301829708,5.259637310505756,5.808760002051181,10.67778070526608
MolWt,9802.0,441.8619809362721,103.57921300667842,94.117,384.8290000000001,439.39700000000016,493.56175000000036,4186.636999999986
LogP,9802.0,3.921220693735974,1.3537285091815927,-20.60433000000032,3.052075000000001,3.8745100000000026,4.737525000000003,10.819019999999991
HBD,9802.0,1.3111609875535606,1.3930958869312773,0.0,1.0,1.0,2.0,58.0
HBA,9802.0,5.2354621505815135,2.2024963194951868,0.0,4.0,5.0,7.0,60.0
TPSA,9802.0,75.97774943889003,40.55349123210476,0.0,53.18,74.07,95.6375,1749.7499999999989
RotatableBonds,9802.0,5.820036727198531,2.8688388206088904,0.0,4.0,6.0,7.0,134.0
RingCount,9802.0,4.324219547031218,1.1758734313921253,0.0,4.0,4.0,5.0,12.0
AromaticRings,9802.0,2.8681901652723933,0.9719933716504386,0.0,2.0,3.0,3.0,9.0
FractionCSP3,9802.0,0.38361332302931056,0.1420528766539137,0.0,0.2916666666666667,0.3809523809523809,0.4761904761904761,1.0
HeavyAtomCount,9802.0,31.365435625382574,7.302611228946433,7.0,27.0,31.0,35.0,295.0
FormalCharge,9802.0,0.003162619873495205,0.05615104070177892,0.0,0.0,0.0,0.0,1.0
NumAtoms,9802.0,31.367578045296877,7.304354744613599,7.0,27.0,31.0,35.0,295.0
