,median_pIC50,MolWt,LogP,HBD,HBA,TPSA,RotatableBonds,RingCount,AromaticRings,FractionCSP3,HeavyAtomCount,FormalCharge,NumAtoms
median_pIC50,1.0,0.03002523507621684,0.2686679751948289,-0.1707207931638692,-0.1400125168290741,-0.2342498815224891,0.08571946812273862,0.042761881235102966,0.06782358556316792,0.0057826383962396935,0.004899435385773271,0.05303210425854616,0.004983118404896614
MolWt,0.03002523507621684,1.0,0.3363974513250115,0.17314904527681363,0.5226214991898288,0.47890782315061015,0.5412821165786778,0.5558399213587835,0.37515053526772585,0.1592434798914995,0.9647444545975401,-0.052004817089759806,0.9646753763600109
LogP,0.2686679751948289,0.3363974513250115,1.0,-0.1976727958241297,-0.3168494932912356,-0.38195281445574575,0.23209974717137924,0.17370529129011528,0.29376757694479794,-0.10183848510504628,0.3178933178498448,0.03830745918166816,0.3177037754261993
HBD,-0.1707207931638692,0.17314904527681363,-0.1976727958241297,1.0,0.24771752261967608,0.5461667850404751,0.12957213726012817,0.014921484500352985,0.05779566473074369,-0.06233594587523684,0.17667106324699527,-0.0766826659352593,0.17683098657298685
HBA,-0.1400125168290741,0.5226214991898288,-0.3168494932912356,0.24771752261967608,1.0,0.8094869809593997,0.29359717666423607,0.42675399933875685,0.31711209563123965,0.09127983304861162,0.5343883214473668,-0.08983793611445615,0.53463458601075
TPSA,-0.2342498815224891,0.47890782315061015,-0.38195281445574575,0.5461667850404751,0.8094869809593997,1.0,0.210664575872781,0.30298964565606423,0.30848665594661884,-0.07462826532189298,0.4991139111591091,-0.0912711419559385,0.49932023929493885
RotatableBonds,0.08571946812273862,0.5412821165786778,0.23209974717137924,0.12957213726012817,0.29359717666423607,0.210664575872781,1.0,0.024316283931522485,0.11074569645742964,0.20978472714572144,0.5350004054570934,0.01144495628335054,0.5350700438084344
RingCount,0.042761881235102966,0.5558399213587835,0.17370529129011528,0.014921484500352985,0.42675399933875685,0.30298964565606423,0.024316283931522485,1.0,0.5427282024322644,0.06829207702068227,0.6347470665708229,-0.06874275784792593,0.63451837928188
AromaticRings,0.06782358556316792,0.37515053526772585,0.29376757694479794,0.05779566473074369,0.31711209563123965,0.30848665594661884,0.11074569645742964,0.5427282024322644,1.0,-0.5744260712855428,0.44280923723671656,0.0013949742633364698,0.44275501997912287
FractionCSP3,0.0057826383962396935,0.1592434798914995,-0.10183848510504628,-0.06233594587523684,0.09127983304861162,-0.07462826532189298,0.20978472714572144,0.06829207702068227,-0.5744260712855428,1.0,0.12258588650699544,-0.04106218178705393,0.12249653220147498
HeavyAtomCount,0.004899435385773271,0.9647444545975401,0.3178933178498448,0.17667106324699527,0.5343883214473668,0.4991139111591091,0.5350004054570934,0.6347470665708229,0.44280923723671656,0.12258588650699544,1.0,-0.04537998100048701,0.9999326115240508
FormalCharge,0.05303210425854616,-0.052004817089759806,0.03830745918166816,-0.0766826659352593,-0.08983793611445615,-0.0912711419559385,0.01144495628335054,-0.06874275784792593,0.0013949742633364698,-0.04106218178705393,-0.04537998100048701,1.0,-0.045383429477655626
NumAtoms,0.004983118404896614,0.9646753763600109,0.3177037754261993,0.17683098657298685,0.53463458601075,0.49932023929493885,0.5350700438084344,0.63451837928188,0.44275501997912287,0.12249653220147498,0.9999326115240508,-0.045383429477655626,1.0
